CO2_unit,CO2_value,Consumption_unit,Consumption_value,Engine_Load_unit,Engine_Load_value,GPS_Accuracy_unit,GPS_Accuracy_value,GPS_Altitude_unit,GPS_Altitude_value,GPS_Bearing_unit,GPS_Bearing_value,GPS_HDOP_unit,GPS_HDOP_value,GPS_PDOP_unit,GPS_PDOP_value,GPS_Speed_unit,GPS_Speed_value,GPS_VDOP_unit,GPS_VDOP_value,Intake_Pressure_unit,Intake_Pressure_value,Intake_Temperature_unit,Intake_Temperature_value,MAF_unit,MAF_value,O2_Lambda_Voltage_ER_unit,O2_Lambda_Voltage_ER_value,O2_Lambda_Voltage_unit,O2_Lambda_Voltage_value,Rpm_unit,Rpm_value,Speed_unit,Speed_value,Throttle_Position_unit,Throttle_Position_value,coordinates,id,properties_constructionYear,properties_engineDisplacement,properties_fuelType,properties_id,properties_manufacturer,properties_model,time,track,type
kg/h,19.7897190888,l/h,8.42115705908,%,64.1581795207,%,7.41643059254,m,93.2248834684,deg,104.54588361,precision,0.8,precision,1.5,km/h,15.3573983923,precision,1.3,kPa,85.3504271507,c,29.9999991059,l/s,25.6178615368,ratio,1.03206363972,V,1.55746109434,u/min,3198.90770375,km/h,25.5885950625,%,12.4328358769,"[6.486474714744131, 51.22233226712635]",579634f9e4b086b281bf9373,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:08:24Z,579634f9e4b086b281bf935c,Point
kg/h,31.2386460589,l/h,13.2930408761,%,81.2506623064,%,8.00000023842,m,93.7247093774,deg,100.907939559,precision,0.800000023842,precision,1.5678607434,km/h,38.8507373826,precision,1.36786073744,kPa,98.9482235033,c,29.0,l/s,40.4385380986,ratio,0.966011500917,V,1.34853253025,u/min,2200.87087762,km/h,44.9101338387,%,41.4703636169,"[6.487132566604297, 51.22227224350247]",579634f9e4b086b281bf9374,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:08:30Z,579634f9e4b086b281bf935c,Point
kg/h,24.5616964918,l/h,10.4517857412,%,82.1560860608,%,8.00000023842,m,93.1930077992,deg,98.0401323816,precision,0.867109268904,precision,1.66578136086,km/h,59.231734943,precision,1.46578136683,kPa,96.4588237479,c,28.0000008345,l/s,31.7952032068,ratio,0.978220582445,V,1.363424335,u/min,2134.72499464,km/h,60.5019753724,%,33.396040231,"[6.488249821547591, 51.22217263613847]",579634f9e4b086b281bf9375,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:08:35Z,579634f9e4b086b281bf935c,Point
kg/h,16.5974014979,l/h,7.06272404164,%,32.4125156779,%,6.61755800247,m,94.6176650394,deg,98.7922588698,precision,0.8,precision,1.402589643,km/h,67.8570049606,precision,1.170119524,kPa,47.5327965617,c,27.9999991655,l/s,21.485395095,ratio,0.986766842019,V,1.41429314535,u/min,2356.11438763,km/h,69.9999979138,%,10.5241935253,"[6.4895296515535605, 51.22206260764995]",579634f9e4b086b281bf9376,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:08:39Z,579634f9e4b086b281bf935c,Point
kg/h,8.12579467497,l/h,3.45778496807,%,15.202522115,%,8.0,m,94.257599541,deg,96.3218315248,precision,0.900816327333,precision,1.33306122422,km/h,68.6628375196,precision,0.999183672667,kPa,25.7515151501,c,28.4230387211,l/s,10.5188700216,ratio,1.00440794266,V,1.50704658023,u/min,2323.07692337,km/h,68.4629999995,%,7.36238959432,"[6.490923279504084, 51.22197074558806]",579634f9e4b086b281bf9377,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:08:45Z,579634f9e4b086b281bf935c,Point
kg/h,3.89579332704,l/h,1.65778439449,%,10.9803927833,%,8.00000023842,m,94.7050731027,deg,95.6239424285,precision,0.766361811757,precision,1.26727645993,km/h,62.7286943612,precision,1.00091466308,kPa,19.3137450218,c,28.9999991357,l/s,5.04311827673,ratio,0.0,V,3.99414063988,u/min,1935.68842685,km/h,56.6183283329,%,5.0,"[6.492229945699702, 51.22190297652445]",579634f9e4b086b281bf9378,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:08:50Z,579634f9e4b086b281bf935c,Point
kg/h,5.04747661002,l/h,2.14786238724,%,14.317540238,%,8.0,m,95.371079355,deg,115.46312648,precision,0.799999976158,precision,1.39999995828,km/h,45.8069319607,precision,1.19999996424,kPa,22.5475728512,c,29.9999991059,l/s,6.53397637053,ratio,0.9868795441,V,1.61446474314,u/min,1553.00004628,km/h,45.9999986291,%,5.33563688397,"[6.493191154844418, 51.22176541992821]",579634f9e4b086b281bf9379,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:08:55Z,579634f9e4b086b281bf935c,Point
kg/h,15.8291500304,l/h,6.73580852356,%,47.7609478176,%,7.99999976158,m,94.168634723,deg,159.554574211,precision,0.834695911407,precision,1.16939182281,km/h,49.9376515285,precision,0.834695911407,kPa,65.1457489729,c,29.0,l/s,20.4908908461,ratio,1.01217595999,V,1.52931530731,u/min,1860.37148321,km/h,54.6721479893,%,11.9846627666,"[6.493696896442953, 51.2213040981599]",579634f9e4b086b281bf937a,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:09:00Z,579634f9e4b086b281bf935c,Point
kg/h,3.83679061859,l/h,1.63267685897,%,11.372549057,%,12.0,m,93.4539003361,deg,193.244747446,precision,0.865577119589,precision,1.26557711959,km/h,53.3277370462,precision,0.8,kPa,19.999999404,c,29.0000004321,l/s,4.96673906141,ratio,0.0,V,3.99414050597,u/min,1667.76558143,km/h,50.0201613307,%,5.00000009313,"[6.493631999434063, 51.220558036158835]",579634f9e4b086b281bf937b,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:09:05Z,579634f9e4b086b281bf935c,Point
kg/h,12.5337629771,l/h,5.33351616049,%,37.4545166329,%,12.0000003576,m,91.7079368813,deg,263.769825804,precision,1.16306479871,precision,1.46306478977,km/h,46.0551843753,precision,0.963064804673,kPa,53.280159533,c,29.7724550962,l/s,16.2250006199,ratio,1.00456933716,V,1.52042203099,u/min,1758.64107704,km/h,52.6767084002,%,9.98396817781,"[6.492809105003926, 51.22019039854575]",579634f9e4b086b281bf937c,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:09:10Z,579634f9e4b086b281bf935c,Point
kg/h,29.7784153278,l/h,12.6716660969,%,79.199172198,%,7.99999976158,m,89.4082835599,deg,336.514635358,precision,0.999999970198,precision,1.29999996126,km/h,56.4358368202,precision,0.799999976158,kPa,99.0000029504,c,28.5201573372,l/s,38.548264239,ratio,1.00766338488,V,1.52497693198,u/min,2057.92313704,km/h,61.0674468577,%,56.0338299088,"[6.491921141909986, 51.22067534991093]",579634f9e4b086b281bf937d,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:09:15Z,579634f9e4b086b281bf935c,Point
kg/h,41.0404189102,l/h,17.4640080469,%,82.3619987543,%,11.9999996424,m,89.0304177558,deg,1.41798179583,precision,1.37068277299,precision,1.67068278193,km/h,71.8313685417,precision,0.867670708895,kPa,99.0,c,27.0,l/s,53.1269678126,ratio,0.978939646389,V,1.43537332653,u/min,2618.69902742,km/h,77.2015655041,%,62.9536670148,"[6.49189742426096, 51.2215565417569]",579634f9e4b086b281bf937e,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:09:20Z,579634f9e4b086b281bf935c,Point
